NUMERO,NOMBRE,DIRECCION,COORDENADAS,PRECIO,LINK,CODIGO_POSTAL,COMPETENCIA,NUM_COMPETENCIA,NUM_TRANS_PUB,NOTA_FINAL
018,"Local comercial en calle del Dibujante Manuel Gago, 10","calle del Dibujante Manuel Gago, 10","(39.462267826061, -0.391039084825)",990,https://www.pisos.com/alquilar/local_comercial-patraix_barrio46018-54231553608_100500/,46018,"[('Burger King', '46018')]","(1, 1, 0, 4.8)","(2, 0, 2)",3.5
014,Oficina en Sant Francesc,Sant Francesc,"(39.4703495, -0.3760046)",1300,https://www.pisos.com/alquilar/oficina-sant_francesc46002-60028158218_108500/,46002,[],"(0, 0, 0, 0.0)","(7, 0, 4)",3.32
011,Local comercial en Avinguda de Pérez Galdós,Avinguda de Pérez Galdós,"(39.469495033704, -0.391864612693)",590,https://www.pisos.com/alquilar/local_comercial-arrancapins46008-48387745780_519889/,46008,[],"(0, 0, 0, 0.0)","(0, 0, 3)",3.12
010,Local comercial en calle calle Juan de Villarrasa,calle calle Juan de Villarrasa,"(39.472551986508, -0.332978416302)",900,https://www.pisos.com/alquilar/local_comercial-el_mercat46001-45909771299_108900/,46011,[],"(0, 0, 0, 0.0)","(4, 0, 1)",2.92
005,"Local comercial en calle de la Vila de Muro, 4","calle de la Vila de Muro, 4","(39.483593650853, -0.361878192221)",700,https://www.pisos.com/alquilar/local_comercial-benimaclet_barrio46020-98349151530_100500/,46020,[],"(0, 0, 0, 0.0)","(0, 0, 2)",2.72
009,Oficina en calle de Alfonso de Córdoba,calle de Alfonso de Córdoba,"(39.47639356874, -0.359364995912)",1950,https://www.pisos.com/alquilar/oficina-exposicio-53423794115_513231/,46010,[],"(0, 0, 0, 0.0)","(9, 0, 5)",2.67
030,Local comercial en Torrefiel,Torrefiel,"(39.494658, -0.3765257)",750,https://www.pisos.com/alquilar/local_comercial-marxalenes46009-50049038048_100500/,46019,[],"(0, 0, 0, 0.0)","(0, 0, 2)",2.63
007,"Oficina en calle del Marqués de Campo, 13","calle del Marqués de Campo, 13","(39.460036772983, -0.387208722712)",2827,https://www.pisos.com/alquilar/oficina-la_raiosa_san_vicente_martir-58430845521_101800/,46007,"[('Lamburguesa', '46007')]","(1, 1, 0, 4.2)","(12, 1, 2)",2.22
023,Local comercial en Gran Vía del Marqués del Turia,Gran Vía del Marqués del Turia,"(39.467060208243, -0.369087079436)",3000,https://www.pisos.com/alquilar/local_comercial-eixample_gran_via46005-53396893906_100500/,46005,"[('Burger King', '46004')]","(1, 0, 0, 0.0)","(5, 0, 2)",1.76
013,Local comercial en Campanar,Campanar,"(39.4812515, -0.3931829)",2800,https://www.pisos.com/alquilar/local_comercial-sant_pau46015-54249524016_100500/,46015,[],"(0, 0, 0, 0.0)","(9, 2, 2)",1.65
020,Local comercial en Carrer de Cuba,Carrer de Cuba,"(39.460497085395, -0.37603788836)",1600,https://www.pisos.com/alquilar/local_comercial-russafa46006-58429692451_515510/,46006,[],"(0, 0, 0, 0.0)","(2, 0, 2)",1.41
002,Local comercial en Patraix,Patraix,"(39.4640601, -0.3922245)",1750,https://www.pisos.com/alquilar/local_comercial-patraix_favara46017-48374162745_100500/,46018,[],"(0, 0, 0, 0.0)","(3, 0, 2)",1.32
032,Local comercial en Ciutat de Les Arts I de Les Ciencies,Ciutat de Les Arts I de Les Ciencies,"(39.4533934, -0.359155)",3000,https://www.pisos.com/alquilar/local_comercial-quatre_carreres_la_punta46013-58423798080_100500/,46013,[],"(0, 0, 0, 0.0)","(4, 2, 4)",0.69
003,Local comercial en Quatre Carreres,Quatre Carreres,"(39.44509, -0.35868)",2000,https://www.pisos.com/alquilar/local_comercial-ciutat_de_les_arts_i_de_les_ciencies46013-44218215230_100500/,46013,[],"(0, 0, 0, 0.0)","(4, 0, 0)",0.66
